,pv_count,pv_ratio,visit_count,visitor_count,new_visitor_count,new_visitor_ratio,ip_count,bounce_ratio,avg_visit_time,avg_visit_pages,trans_count,trans_ratio,visitor,date
111,47,0.33,2,2,0,0,2,0,3365,23.5,--,--,old,2020/02/24
112,47,0.33,6,3,0,0,3,0,1341,7.83,--,--,old,2020/01/02
113,47,0.33,7,4,0,0,4,14.29,317,6.71,--,--,old,2019/10/28
114,47,0.33,12,5,0,0,5,33.33,832,3.92,--,--,old,2019/11/28
115,46,0.32,2,1,0,0,1,0,3426,23.0,--,--,old,2019/12/21
116,46,0.32,9,4,0,0,3,11.11,1492,5.11,--,--,old,2019/05/26
117,46,0.32,6,4,0,0,4,16.67,1021,7.67,--,--,old,2020/03/30
118,45,0.32,3,2,0,0,2,0,4566,15.0,--,--,old,2019/04/04
119,45,0.32,5,2,0,0,2,0,1552,9.0,--,--,old,2020/03/12
120,45,0.32,5,4,0,0,5,20,1445,9.0,--,--,old,2019/09/09
121,45,0.32,3,2,0,0,2,0,1734,15.0,--,--,old,2020/03/22
122,43,0.3,5,3,0,0,3,0,512,8.6,--,--,old,2019/08/24
123,43,0.3,9,5,0,0,4,44.44,617,4.78,--,--,old,2020/03/26
124,43,0.3,2,1,0,0,1,0,3118,21.5,--,--,old,2019/04/22
125,43,0.3,6,3,0,0,2,16.67,1786,7.17,--,--,old,2019/05/23
126,42,0.3,5,5,0,0,5,40,640,8.4,--,--,old,2019/07/25
127,42,0.3,8,5,0,0,5,12.5,886,5.25,--,--,old,2019/08/26
128,41,0.29,7,2,0,0,2,0,883,5.86,--,--,old,2019/11/05
129,41,0.29,6,6,0,0,6,16.67,749,6.83,--,--,old,2020/01/08
130,40,0.28,4,3,0,0,2,0,2633,10.0,--,--,old,2019/05/28
131,40,0.28,7,3,0,0,3,14.29,996,5.71,--,--,old,2019/06/05
132,39,0.27,5,3,0,0,3,20,535,7.8,--,--,old,2020/01/22
133,39,0.27,6,3,0,0,3,33.33,724,6.5,--,--,old,2019/08/30
134,39,0.27,4,1,0,0,1,0,981,9.75,--,--,old,2019/07/07
135,39,0.27,1,1,0,0,1,0,6867,39.0,--,--,old,2019/09/08
136,39,0.27,7,3,0,0,3,28.57,413,5.57,--,--,old,2019/08/01
137,39,0.27,7,4,0,0,4,28.57,1144,5.57,--,--,old,2019/06/04
138,39,0.27,5,1,0,0,1,20,2254,7.8,--,--,old,2020/03/19
139,38,0.27,3,3,0,0,3,66.67,1315,12.67,--,--,old,2019/12/16
140,38,0.27,6,2,0,0,2,16.67,1298,6.33,--,--,old,2019/08/05
141,37,0.26,1,1,0,0,1,0,5212,37.0,--,--,old,2019/04/19
142,37,0.26,4,2,0,0,2,25,317,9.25,--,--,old,2019/11/21
143,37,0.26,7,5,0,0,5,28.57,956,5.29,--,--,old,2019/06/15
144,36,0.25,2,2,0,0,2,0,2110,18.0,--,--,old,2019/03/26
145,36,0.25,5,2,0,0,2,40,786,7.2,--,--,old,2019/07/14
146,35,0.25,6,3,0,0,3,50,746,5.83,--,--,old,2019/12/10
147,35,0.25,5,2,0,0,2,20,1542,7.0,--,--,old,2019/12/14
148,34,0.24,3,2,0,0,2,0,3134,11.33,--,--,old,2019/08/22
149,34,0.24,3,2,0,0,2,33.33,2640,11.33,--,--,old,2019/04/17
150,34,0.24,4,2,0,0,2,25,1300,8.5,--,--,old,2019/06/18
151,34,0.24,5,3,0,0,3,40,856,6.8,--,--,old,2019/06/06
152,34,0.24,2,2,0,0,2,0,2244,17.0,--,--,old,2019/11/19
153,34,0.24,2,2,0,0,2,0,4401,17.0,--,--,old,2019/07/08
154,34,0.24,6,4,0,0,4,16.67,736,5.67,--,--,old,2019/11/13
155,33,0.23,7,4,0,0,4,0,276,4.71,--,--,old,2019/11/22
156,33,0.23,1,1,0,0,1,0,6861,33.0,--,--,old,2019/08/03
157,33,0.23,4,3,0,0,3,0,1787,8.25,--,--,old,2019/12/02
158,32,0.23,6,4,0,0,5,16.67,874,5.33,--,--,old,2019/11/26
159,32,0.23,3,2,0,0,3,0,2012,10.67,--,--,old,2019/10/22
160,32,0.23,7,2,0,0,2,0,1158,4.57,--,--,old,2019/03/15
161,31,0.22,2,2,0,0,1,0,2780,15.5,--,--,old,2019/05/20
162,31,0.22,5,4,0,0,4,40,876,6.2,--,--,old,2019/08/06
163,30,0.21,2,2,0,0,2,50,2441,15.0,--,--,old,2019/04/20
164,30,0.21,5,3,0,0,3,40,500,6.0,--,--,old,2019/08/08
165,29,0.2,5,3,0,0,3,20,628,5.8,--,--,old,2020/04/03
166,29,0.2,3,2,0,0,2,0,727,9.67,--,--,old,2020/01/17
167,28,0.2,3,2,0,0,2,33.33,742,9.33,--,--,old,2020/02/05
168,28,0.2,4,1,0,0,1,0,821,7.0,--,--,old,2019/07/09
169,28,0.2,7,4,0,0,3,28.57,378,4.0,--,--,old,2019/09/10
170,28,0.2,2,2,0,0,2,0,1065,14.0,--,--,old,2019/04/16
171,28,0.2,7,3,0,0,3,28.57,638,4.0,--,--,old,2019/07/24
172,28,0.2,7,3,0,0,3,57.14,1008,4.0,--,--,old,2019/12/20
173,28,0.2,6,2,0,0,2,50,588,4.67,--,--,old,2019/10/11
174,27,0.19,4,4,0,0,4,0,1736,6.75,--,--,old,2019/12/30
175,27,0.19,4,2,0,0,2,50,2099,6.75,--,--,old,2020/01/05
176,27,0.19,3,2,0,0,2,0,525,9.0,--,--,old,2020/03/09
177,27,0.19,1,1,0,0,1,0,5134,27.0,--,--,old,2020/02/11
178,26,0.18,2,2,0,0,2,0,1482,13.0,--,--,old,2019/11/14
179,26,0.18,4,1,0,0,1,25,1065,6.5,--,--,old,2020/02/23
180,26,0.18,3,3,0,0,3,0,1251,8.67,--,--,old,2019/09/11
181,26,0.18,4,3,0,0,3,25,526,6.5,--,--,old,2020/01/21
182,26,0.18,4,2,0,0,2,50,1295,6.5,--,--,old,2019/06/10
183,26,0.18,2,2,0,0,2,0,1372,13.0,--,--,old,2019/10/23
184,26,0.18,2,2,0,0,2,0,1493,13.0,--,--,old,2019/06/16
185,26,0.18,2,2,0,0,2,0,206,13.0,--,--,old,2019/06/20
186,26,0.18,3,3,0,0,3,33.33,1382,8.67,--,--,old,2019/10/10
187,26,0.18,9,4,0,0,6,33.33,456,2.89,--,--,old,2019/03/08
188,26,0.18,6,3,0,0,3,16.67,644,4.33,--,--,old,2020/02/27
189,25,0.18,4,2,0,0,2,25,1374,6.25,--,--,old,2019/08/12
190,25,0.18,6,3,0,0,3,33.33,807,4.17,--,--,old,2019/10/27
191,25,0.18,5,3,0,0,3,0,618,5.0,--,--,old,2019/08/14
192,25,0.18,3,3,0,0,3,0,1475,8.33,--,--,old,2019/06/27
193,25,0.18,4,4,0,0,4,50,1057,6.25,--,--,old,2019/12/19
194,25,0.18,2,2,0,0,2,0,2770,12.5,--,--,old,2020/01/12
195,24,0.17,3,1,0,0,1,0,247,8.0,--,--,old,2019/11/09
196,24,0.17,7,4,0,0,3,57.14,928,3.43,--,--,old,2020/03/23
197,23,0.16,1,1,0,0,1,0,1580,23.0,--,--,old,2019/05/09
198,23,0.16,3,3,0,0,3,33.33,139,7.67,--,--,old,2019/09/21
199,22,0.15,4,1,0,0,1,0,672,5.5,--,--,old,2020/02/13
200,22,0.15,3,1,0,0,1,0,1066,7.33,--,--,old,2019/04/27
201,22,0.15,4,2,0,0,2,0,908,5.5,--,--,old,2020/01/11
202,21,0.15,2,1,0,0,1,0,2100,10.5,--,--,old,2019/05/19
203,21,0.15,1,1,0,0,1,0,6503,21.0,--,--,old,2020/02/06
204,21,0.15,4,2,0,0,1,0,1288,5.25,--,--,old,2019/06/14
205,20,0.14,5,3,0,0,3,40,934,4.0,--,--,old,2020/02/26
206,20,0.14,4,3,0,0,3,75,704,5.0,--,--,old,2019/07/16
207,20,0.14,2,2,0,0,2,50,197,10.0,--,--,old,2019/07/02
208,19,0.13,2,2,0,0,2,0,1599,9.5,--,--,old,2019/07/26
209,19,0.13,8,4,0,0,4,50,729,2.38,--,--,old,2019/03/13
210,19,0.13,2,1,0,0,1,0,1764,9.5,--,--,old,2020/01/16
211,19,0.13,2,2,0,0,2,0,656,9.5,--,--,old,2020/02/12
212,19,0.13,3,1,0,0,1,66.67,863,6.33,--,--,old,2020/02/28
213,19,0.13,2,2,0,0,2,0,200,9.5,--,--,old,2020/01/10
214,19,0.13,1,1,0,0,1,0,3566,19.0,--,--,old,2019/10/17
215,18,0.13,5,5,0,0,5,40,197,3.6,--,--,old,2019/12/31
216,18,0.13,3,3,0,0,3,33.33,1126,6.0,--,--,old,2019/03/03
217,18,0.13,1,1,0,0,1,0,1395,18.0,--,--,old,2019/10/02
218,18,0.13,1,1,0,0,1,0,3144,18.0,--,--,old,2019/04/04
219,18,0.13,7,3,0,0,3,57.14,148,2.57,--,--,old,2020/01/20
220,18,0.13,5,2,0,0,2,60,321,3.6,--,--,old,2020/01/03
221,18,0.13,2,2,0,0,2,0,2463,9.0,--,--,old,2019/04/01
222,18,0.13,4,3,0,0,3,25,469,4.5,--,--,old,2020/01/30
223,17,0.12,3,2,0,0,2,33.33,870,5.67,--,--,old,2019/10/13
224,17,0.12,8,3,0,0,3,75,354,2.13,--,--,old,2019/03/05
225,17,0.12,3,1,0,0,1,0,247,5.67,--,--,old,2019/05/01
226,17,0.12,2,1,0,0,1,0,1698,8.5,--,--,old,2019/09/29
227,17,0.12,1,1,0,0,1,0,3043,17.0,--,--,old,2019/08/25
228,17,0.12,6,3,0,0,3,33.33,701,2.83,--,--,old,2019/09/24
229,17,0.12,3,2,0,0,2,0,131,5.67,--,--,old,2019/07/22
230,16,0.11,1,1,0,0,1,0,806,16.0,--,--,old,2019/12/18
231,16,0.11,3,2,0,0,2,0,296,5.33,--,--,old,2020/03/31
232,15,0.11,4,3,0,0,3,0,259,3.75,--,--,old,2019/06/03
233,15,0.11,5,4,0,0,4,20,234,3.0,--,--,old,2019/08/27
234,15,0.11,5,4,0,0,4,20,133,3.0,--,--,old,2019/06/24
235,15,0.11,1,1,0,0,1,0,5300,15.0,--,--,old,2019/07/05
236,15,0.11,3,2,0,0,2,33.33,262,5.0,--,--,old,2019/11/20
237,15,0.11,5,4,0,0,4,60,604,3.0,--,--,old,2019/12/12
238,15,0.11,5,2,0,0,2,60,456,3.0,--,--,old,2020/02/28
239,15,0.11,3,3,0,0,3,66.67,277,5.0,--,--,old,2019/07/15
240,14,0.1,2,1,0,0,1,0,383,7.0,--,--,old,2020/03/05
241,14,0.1,4,2,0,0,2,25,648,3.5,--,--,old,2019/12/17
242,14,0.1,2,2,0,0,2,50,807,7.0,--,--,old,2020/02/16
243,14,0.1,1,1,0,0,1,0,404,14.0,--,--,old,2019/03/31
244,14,0.1,3,2,0,0,2,0,805,4.67,--,--,old,2019/09/30
245,14,0.1,4,3,0,0,3,50,553,3.5,--,--,old,2019/08/17
246,14,0.1,3,3,0,0,3,66.67,267,4.67,--,--,old,2020/01/04
247,14,0.1,3,2,0,0,2,0,628,4.67,--,--,old,2020/01/19
248,13,0.09,5,3,0,0,3,60,701,2.6,--,--,old,2019/03/01
249,13,0.09,5,2,0,0,2,20,391,2.6,--,--,old,2020/03/13
250,13,0.09,2,1,0,0,1,50,1633,6.5,--,--,old,2019/06/12
251,13,0.09,3,1,0,0,1,33.33,1119,4.33,--,--,old,2019/05/30
252,13,0.09,4,2,0,0,2,0,390,3.25,--,--,old,2019/05/25
253,13,0.09,4,4,0,0,4,50,676,3.25,--,--,old,2019/08/02
254,13,0.09,3,2,0,0,2,33.33,673,4.33,--,--,old,2019/07/13
255,13,0.09,2,2,0,0,2,0,245,6.5,--,--,old,2019/04/13
256,12,0.08,3,1,0,0,1,66.67,171,4.0,--,--,old,2019/12/28
257,12,0.08,1,1,0,0,1,0,1263,12.0,--,--,old,2019/05/11
258,12,0.08,2,2,0,0,2,0,1118,6.0,--,--,old,2019/09/18
259,12,0.08,6,2,0,0,3,66.67,293,2.0,--,--,old,2019/03/02
260,12,0.08,12,12,0,0,2,100,120,1.0,--,--,old,2019/08/07
261,12,0.08,2,2,0,0,2,50,1011,6.0,--,--,old,2019/12/06
262,12,0.08,2,2,0,0,2,50,941,6.0,--,--,old,2019/06/11
263,12,0.08,1,1,0,0,1,0,1234,12.0,--,--,old,2019/07/11
264,12,0.08,1,1,0,0,1,0,1373,12.0,--,--,old,2019/07/15
265,12,0.08,2,2,0,0,2,50,265,6.0,--,--,old,2020/04/02
266,12,0.08,1,1,0,0,1,0,1577,12.0,--,--,old,2020/02/03
267,12,0.08,2,2,0,0,2,50,1254,6.0,--,--,old,2020/02/10
268,12,0.08,2,2,0,0,2,0,320,6.0,--,--,old,2019/06/09
269,12,0.08,1,1,0,0,1,0,3864,12.0,--,--,old,2019/05/21
270,11,0.08,4,1,0,0,1,0,840,2.75,--,--,old,2020/03/15
271,11,0.08,2,2,0,0,2,50,577,5.5,--,--,old,2020/03/28
272,11,0.08,2,2,0,0,2,0,1081,5.5,--,--,old,2020/03/06
273,10,0.07,2,1,0,0,1,0,186,5.0,--,--,old,2019/07/04
274,10,0.07,2,2,0,0,2,0,51,5.0,--,--,old,2019/07/18
275,10,0.07,4,2,0,0,2,25,582,2.5,--,--,old,2019/11/24
276,10,0.07,1,1,0,0,1,0,783,10.0,--,--,old,2019/06/26
277,10,0.07,1,1,0,0,1,0,2198,10.0,--,--,old,2019/10/09
278,10,0.07,3,2,0,0,2,33.33,255,3.33,--,--,old,2019/10/29
279,10,0.07,3,3,0,0,3,33.33,496,3.33,--,--,old,2019/06/19
280,10,0.07,2,2,0,0,2,0,655,5.0,--,--,old,2019/11/18
281,10,0.07,1,1,0,0,1,0,1268,10.0,--,--,old,2019/11/15
282,9,0.06,2,2,0,0,2,0,52,4.5,--,--,old,2019/06/29
283,9,0.06,1,1,0,0,1,0,789,9.0,--,--,old,2019/06/21
284,9,0.06,1,1,0,0,1,0,177,9.0,--,--,old,2019/11/16
285,9,0.06,2,2,0,0,2,0,147,4.5,--,--,old,2020/02/04
286,9,0.06,4,2,0,0,3,50,36,2.25,--,--,old,2019/03/29
287,9,0.06,3,2,0,0,2,0,144,3.0,--,--,old,2019/06/28
288,9,0.06,2,2,0,0,2,0,860,4.5,--,--,old,2019/04/05
289,9,0.06,2,2,0,0,2,50,216,4.5,--,--,old,2020/03/11
290,9,0.06,4,2,0,0,1,50,50,2.25,--,--,old,2019/04/23
291,9,0.06,2,2,0,0,2,0,56,4.5,--,--,old,2019/11/10
292,8,0.06,2,2,0,0,2,50,818,4.0,--,--,old,2019/06/06
293,8,0.06,1,1,0,0,1,0,3122,8.0,--,--,old,2020/04/02
294,8,0.06,1,1,0,0,1,0,2129,8.0,--,--,old,2020/01/23
295,8,0.06,1,1,0,0,1,0,465,8.0,--,--,old,2019/06/26
296,8,0.06,1,1,0,0,1,0,1269,8.0,--,--,old,2020/02/01
297,8,0.06,4,2,0,0,2,50,85,2.0,--,--,old,2019/03/09
298,7,0.05,3,3,0,0,3,0,52,2.33,--,--,old,2019/03/07
299,7,0.05,3,3,0,0,3,0,78,2.33,--,--,old,2019/08/10
300,7,0.05,3,2,0,0,2,0,128,2.33,--,--,old,2019/03/06
301,7,0.05,1,1,0,0,1,0,218,7.0,--,--,old,2019/09/01
302,7,0.05,1,1,0,0,1,0,435,7.0,--,--,old,2020/02/19
303,7,0.05,3,2,0,0,2,66.67,88,2.33,--,--,old,2019/05/14
304,7,0.05,3,3,0,0,3,33.33,31,2.33,--,--,old,2019/07/29
305,7,0.05,4,1,0,0,1,50,590,1.75,--,--,old,2019/03/30
306,7,0.05,2,2,0,0,2,50,629,3.5,--,--,old,2019/12/15
307,7,0.05,1,1,0,0,1,0,312,7.0,--,--,old,2019/05/27
308,7,0.05,3,2,0,0,2,33.33,101,2.33,--,--,old,2019/08/18
309,7,0.05,1,1,0,0,1,0,74,7.0,--,--,old,2019/11/23
310,6,0.04,1,1,0,0,1,0,355,6.0,--,--,old,2020/02/20
311,6,0.04,3,3,0,0,3,33.33,45,2.0,--,--,old,2019/07/27
312,6,0.04,1,1,0,0,1,0,644,6.0,--,--,old,2019/04/29
313,6,0.04,1,1,0,0,1,0,881,6.0,--,--,old,2020/02/14
314,6,0.04,1,1,0,0,1,0,2173,6.0,--,--,old,2020/01/14
315,6,0.04,4,3,0,0,3,75,109,1.5,--,--,old,2019/05/10
316,6,0.04,3,2,0,0,2,66.67,254,2.0,--,--,old,2019/03/18
317,6,0.04,1,1,0,0,1,0,1999,6.0,--,--,old,2019/05/06
318,5,0.04,2,2,0,0,2,0,13,2.5,--,--,old,2019/06/25
319,5,0.04,2,2,0,0,2,50,149,2.5,--,--,old,2019/06/23
320,5,0.04,2,1,0,0,1,0,339,2.5,--,--,old,2019/04/06
321,5,0.04,2,2,0,0,2,50,80,2.5,--,--,old,2019/07/03
322,5,0.04,2,1,0,0,1,0,261,2.5,--,--,old,2019/07/06
323,5,0.04,4,3,0,0,3,75,204,1.25,--,--,old,2019/06/17
324,5,0.04,3,2,0,0,2,33.33,580,1.67,--,--,old,2019/06/01
325,5,0.04,1,1,0,0,1,0,318,5.0,--,--,old,2019/09/22
326,5,0.04,2,2,0,0,2,0,218,2.5,--,--,old,2020/03/27
327,5,0.04,2,1,0,0,1,50,222,2.5,--,--,old,2019/11/01
328,5,0.04,3,3,0,0,3,33.33,43,1.67,--,--,old,2019/05/24
329,5,0.04,3,2,0,0,2,33.33,1378,1.67,--,--,old,2019/07/01
330,4,0.03,1,1,0,0,1,0,109,4.0,--,--,old,2019/07/03
331,4,0.03,1,1,0,0,1,0,173,4.0,--,--,old,2019/09/26
332,4,0.03,1,1,0,0,1,0,118,4.0,--,--,old,2019/04/12
333,4,0.03,1,1,0,0,1,0,28,4.0,--,--,old,2019/05/18
334,4,0.03,1,1,0,0,1,0,839,4.0,--,--,old,2019/07/10
335,4,0.03,1,1,0,0,1,0,241,4.0,--,--,old,2019/10/01
336,4,0.03,1,1,0,0,1,0,19,4.0,--,--,old,2019/04/11
337,4,0.03,2,1,0,0,1,0,333,2.0,--,--,old,2019/06/08
338,4,0.03,1,1,0,0,1,0,38,4.0,--,--,old,2019/03/04
339,4,0.03,2,2,0,0,2,50,189,2.0,--,--,old,2019/03/19
340,4,0.03,2,1,0,0,1,50,6,2.0,--,--,old,2019/03/23
341,4,0.03,1,1,0,0,1,0,76,4.0,--,--,old,2020/04/04
342,4,0.03,1,1,0,0,1,0,910,4.0,--,--,old,2019/04/07
343,4,0.03,2,2,0,0,2,50,591,2.0,--,--,old,2019/09/20
344,3,0.02,1,1,0,0,1,0,1655,3.0,--,--,old,2019/09/13
345,3,0.02,1,1,0,0,1,0,35,3.0,--,--,old,2019/10/15
346,3,0.02,2,2,0,0,2,50,1406,1.5,--,--,old,2019/03/10
347,3,0.02,1,1,0,0,1,0,2288,3.0,--,--,old,2020/02/17
348,3,0.02,1,1,0,0,1,0,3037,3.0,--,--,old,2020/03/10
349,3,0.02,1,1,0,0,1,0,245,3.0,--,--,old,2019/10/03
350,3,0.02,3,1,0,0,1,100,82,1.0,--,--,old,2020/02/09
351,3,0.02,1,1,0,0,1,0,922,3.0,--,--,old,2020/02/07
352,3,0.02,1,1,0,0,1,0,104,3.0,--,--,old,2019/09/25
353,2,0.01,2,1,0,0,1,100,2,1.0,--,--,old,2019/09/12
355,2,0.01,1,1,0,0,1,0,31,2.0,--,--,old,2019/11/08
356,2,0.01,1,1,0,0,1,0,170,2.0,--,--,old,2019/06/07
357,2,0.01,1,1,0,0,1,0,18,2.0,--,--,old,2019/09/15
358,2,0.01,2,2,0,0,2,100,120,1.0,--,--,old,2019/03/14
359,2,0.01,2,2,0,0,2,100,120,1.0,--,--,old,2019/12/29
360,2,0.01,1,1,0,0,1,0,761,2.0,--,--,old,2019/06/03
361,2,0.01,1,1,0,0,1,0,8,2.0,--,--,old,2019/10/25
362,1,0.01,1,1,0,0,1,100,120,1.0,--,--,old,2020/03/24
363,1,0.01,1,1,0,0,1,100,16,1.0,--,--,old,2020/02/18
364,1,0.01,1,1,0,0,1,100,7,1.0,--,--,old,2019/07/28
365,1,0.01,1,1,0,0,1,100,120,1.0,--,--,old,2020/03/04
366,1,0.01,1,1,0,0,1,100,120,1.0,--,--,old,2020/02/15
367,1,0.01,1,1,0,0,1,100,120,1.0,--,--,old,2020/01/04
368,1,0.01,1,1,0,0,1,100,120,1.0,--,--,old,2019/05/02
369,1,0.01,1,1,0,0,1,100,120,1.0,--,--,old,2019/03/17
370,1,0.01,1,1,0,0,1,100,1,1.0,--,--,old,2019/04/30
371,1,0.01,1,1,0,0,1,100,120,1.0,--,--,old,2019/05/13
372,1,0.01,1,1,0,0,1,100,120,1.0,--,--,old,2019/08/04
373,1,0.01,1,1,0,0,1,100,6,1.0,--,--,old,2019/08/02
374,1,0.01,1,1,0,0,1,100,120,1.0,--,--,old,2019/11/17
375,1,0.01,1,1,0,0,1,100,120,1.0,--,--,old,2019/03/21
376,1,0.01,1,1,0,0,1,100,120,1.0,--,--,old,2020/03/29
377,1,0.01,1,1,0,0,1,100,4,1.0,--,--,old,2019/07/16
378,1,0.01,1,1,0,0,1,100,120,1.0,--,--,old,2019/03/28
379,1,0.01,1,1,0,0,1,100,351,1.0,--,--,old,2020/02/02
380,1,0.01,1,1,0,0,1,100,21,1.0,--,--,old,2019/05/21
